iter	Passed	Remaining
400	15373	3795
401	15406	3755
402	15439	3716
403	15478	3677
404	15514	3639
405	15549	3600
406	15582	3560
407	15615	3521
408	15651	3482
409	15687	3443
410	15725	3405
411	15758	3365
412	15792	3326
413	15826	3287
414	15860	3248
415	15895	3209
416	15936	3172
417	15982	3135
418	16021	3097
419	16054	3058
420	16089	3019
421	16124	2980
422	16158	2941
423	16193	2902
424	16226	2863
425	16263	2825
426	16299	2786
427	16336	2748
428	16370	2709
429	16405	2670
430	16440	2632
431	16478	2593
432	16516	2555
433	16550	2516
434	16586	2478
435	16622	2439
436	16655	2401
437	16690	2362
438	16723	2323
439	16756	2285
440	16837	2252
441	16927	2221
442	17030	2191
443	17109	2157
444	17166	2121
445	17211	2083
446	17247	2044
447	17281	2005
448	17316	1966
449	17348	1927
450	17384	1888
451	17419	1849
452	17454	1811
453	17488	1771
454	17519	1732
455	17553	1693
456	17585	1654
457	17619	1615
458	17653	1576
459	17686	1537
460	17720	1499
461	17756	1460
462	17794	1421
463	17829	1383
464	17864	1344
465	17898	1305
466	17932	1267
467	17967	1228
468	18001	1189
469	18035	1151
470	18068	1112
471	18106	1074
472	18137	1035
473	18173	996
474	18206	958
475	18243	919
476	18276	881
477	18311	842
478	18344	804
479	18378	765
480	18413	727
481	18447	688
482	18483	650
483	18516	612
484	18551	573
485	18586	535
486	18620	497
487	18654	458
488	18686	420
489	18722	382
490	18752	343
491	18788	305
492	18823	267
493	18859	229
494	18894	190
495	18928	152
496	18963	114
497	18997	76
498	19032	38
499	19066	0
