iter	PRAUC	Logloss
0	0.9539025235	0.6457723727
1	0.9552834913	0.6146406705
2	0.9717410628	0.5803487052
3	0.973390194	0.5428728938
4	0.9770977536	0.5139818822
5	0.9767340597	0.4878164151
6	0.9777303484	0.4641848994
7	0.9772502879	0.4435996173
8	0.9789881627	0.4223934873
9	0.9800905369	0.4039415617
10	0.9811470595	0.3876882435
11	0.9834249526	0.3727600161
12	0.9843525102	0.3617035005
13	0.9848835204	0.3460014384
14	0.985643092	0.3343401008
15	0.9869486378	0.3245587278
16	0.9877757319	0.3156742301
17	0.9876480528	0.3051035625
18	0.9882688551	0.2960125322
19	0.9892834808	0.2881028351
20	0.9894433315	0.2797501859
21	0.9902121183	0.2713378689
22	0.990366542	0.2636692348
23	0.9907350137	0.2575814268
24	0.9911171709	0.2513876012
25	0.9917185809	0.2458815443
26	0.9923169828	0.240845874
27	0.9925997437	0.2357009072
28	0.9928289094	0.2312563111
29	0.9928618949	0.2262800903
30	0.9932383708	0.2210165864
31	0.9931918269	0.2162005236
32	0.9933986708	0.2117499035
33	0.9936993623	0.2083495072
34	0.9939038034	0.2048320297
35	0.9941422377	0.2010199145
36	0.9944146479	0.1970732562
37	0.9944686339	0.1939811888
38	0.9946694539	0.1908437499
39	0.9948356765	0.1869840411
40	0.9950060978	0.1832791219
41	0.9950615862	0.1802693279
42	0.9951387831	0.1775946501
43	0.9952708349	0.1750595921
44	0.9953726128	0.1724134925
45	0.9954660364	0.1704993364
46	0.9955685483	0.1682323383
47	0.995663362	0.1657296919
48	0.9958359156	0.1638466748
49	0.9959688578	0.1613819691
50	0.9959895151	0.1587718381
51	0.9961058599	0.1561371075
52	0.9961889555	0.1541914501
53	0.9962157419	0.1522912533
54	0.9963558189	0.1504571616
55	0.9964549889	0.1483199233
56	0.9964302404	0.1465745279
57	0.9965011881	0.1448912507
58	0.9965746739	0.1430937862
59	0.9966851981	0.1412981909
60	0.9967584387	0.139577634
61	0.9968044217	0.1382420938
62	0.9968899016	0.1368509335
63	0.9968776503	0.1352725455
64	0.996923176	0.1337901612
65	0.996990298	0.1325173053
66	0.997093901	0.1304657381
67	0.9971663598	0.1291512649
68	0.9972203385	0.1277186793
69	0.9973374426	0.1255420897
70	0.9973586248	0.1246006576
71	0.9974198139	0.1231746347
72	0.9974661412	0.1221716296
73	0.997572328	0.1208198609
74	0.9976426373	0.1192510315
75	0.9977070232	0.1177869933
76	0.9977442717	0.1168681025
77	0.9977966003	0.1156605466
78	0.9978397706	0.1148979617
79	0.9978705577	0.1138453783
80	0.997924039	0.1128586662
81	0.9980227118	0.1115418676
82	0.9980493785	0.1106974416
83	0.9980779765	0.1098786674
84	0.9980846376	0.1090456847
85	0.9981584459	0.1078757343
86	0.9981931027	0.1072338237
87	0.9982176736	0.1064222501
88	0.9982553002	0.1056314432
89	0.9982705481	0.1050297332
90	0.9982757572	0.1041507789
91	0.9983035259	0.1032241033
92	0.9983336997	0.1024043786
93	0.9983494559	0.1013889074
94	0.9983733162	0.1008026065
95	0.9983851928	0.1001169919
96	0.998398993	0.09941932535
97	0.9984220525	0.09883217184
98	0.9984455415	0.09840465802
99	0.9984860853	0.09741181274
100	0.9985205977	0.09676085774
101	0.9985557293	0.09579115565
102	0.9985765464	0.09502953544
103	0.9985861928	0.09435379602
104	0.9986120291	0.09369991645
105	0.9986335831	0.09308187311
106	0.9986642402	0.09244123594
107	0.9986749779	0.09164896731
108	0.9986969873	0.09112424669
109	0.9987049023	0.09059373042
110	0.9987074386	0.0901504197
111	0.9987336298	0.08942158369
112	0.9987397937	0.08874646178
113	0.998754165	0.08817382461
114	0.9987604301	0.0874596123
115	0.9987713378	0.08704092673
116	0.9987988629	0.08637150554
117	0.9988045876	0.08595471426
118	0.9988132716	0.08557223066
119	0.9988253858	0.08533956727
120	0.9988294736	0.0848241291
121	0.9988708127	0.08381062288
122	0.9988681893	0.08328157002
123	0.9988922926	0.08273583569
124	0.9989005755	0.08228169033
125	0.9989081088	0.08196485551
126	0.9989155359	0.08152903583
127	0.9989361878	0.08103169234
128	0.9989661961	0.08040365373
129	0.9989937697	0.07955677307
130	0.9989947811	0.07913617174
131	0.9990289154	0.078467208
132	0.9990494921	0.07784819278
