,PR_AUC,ROC_AUC,F1,Precision,Recall,FN,FP,Biz_Cost_INR
CatBoostCompactUncalibrated,0.9959839839688946,0.9991717376605814,0.9639468690702088,0.9548872180451128,0.9731800766283525,7.0,12.0,286000.0
CatBoostCompactCalibrated,0.9959839839688946,0.9991717376605814,0.8729096989966555,0.7744807121661721,1.0,0.0,76.0,38000.0
LogisticRegressionCompact,0.9939710899707644,0.9987745098039216,0.9426987060998152,0.9107142857142857,0.9770114942528736,6.0,25.0,252500.0
GradientBoostingCompact,0.9887567463423252,0.9976109984223575,0.9325396825396826,0.9670781893004116,0.9003831417624522,26.0,8.0,1044000.0
RandomForestCompact,0.9765670810326627,0.9942894974081586,0.9077757685352622,0.8595890410958904,0.9616858237547893,10.0,41.0,420500.0
