feature,mean_abs_shap
customer_lifetime_value,13.197701873797882
total_digital_logins,12.810229294837049
total_trans_count,12.091616713471
monthly_transaction_value,10.322928747664067
cash_withdrawal_count,8.204364358280088
annual_income,7.57232379769782
avg_monthly_balance,6.063298053513956
referral_count,4.543363978393937
monthly_transaction_count,4.309356277814672
upi_transaction_count,4.039461555358624
last_contacted_days,3.194664722391504
current_balance,2.75748775910922
number_of_products,2.33848341848627
loan_default_history,2.1264138860459503
loyalty_program_member,2.0008832099922795
age,1.8704748275365946
tenure_months,1.621923979593105
has_loan,0.35010466723219935
region,0.232131574246122
occupation_type,0.18266923987035066
city_tier,0.07733022469798352
gender,0.07700358385367044
relationship_manager_assigned,0.01578425611564807
